city,year,weekofyear,total_cases
ag,2007,11,34
ag,2007,12,31
ag,2007,13,38
ag,2007,14,30
ag,2007,15,32
ag,2007,16,26
ag,2007,17,30
ag,2007,18,36
ag,2007,19,35
ag,2007,20,46
ag,2007,21,48
ag,2007,22,44
ag,2007,23,51
ag,2007,24,59
ag,2007,25,71
ag,2007,26,102
ag,2007,27,128
ag,2007,28,127
ag,2007,29,150
ag,2007,30,191
ag,2007,31,256
ag,2007,32,329
ag,2007,33,263
ag,2007,34,220
ag,2007,35,204
ag,2007,36,181
ag,2007,37,99
ag,2007,38,54
ag,2007,39,80
ag,2007,40,102
ag,2007,41,127
ag,2007,42,73
ag,2007,43,68
ag,2007,44,64
ag,2007,45,55
ag,2007,46,67
ag,2007,47,84
ag,2007,48,85
ag,2007,49,67
ag,2007,50,73
ag,2007,51,89
ag,2007,52,68
ag,2008,53,59
ag,2008,1,56
ag,2008,2,77
ag,2008,3,75
ag,2008,4,47
ag,2008,5,50
ag,2008,6,42
ag,2008,7,28
ag,2008,8,37
ag,2008,9,37
ag,2008,10,27
ag,2008,11,12
ag,2008,12,15
ag,2008,13,22
ag,2008,14,8
ag,2008,15,15
ag,2008,16,17
ag,2008,17,10
ag,2008,18,9
ag,2008,19,11
ag,2008,20,20
ag,2008,21,13
ag,2008,22,11
ag,2008,23,16
ag,2008,24,11
ag,2008,25,7
ag,2008,26,17
ag,2008,27,14
ag,2008,28,13
ag,2008,29,15
ag,2008,30,30
ag,2008,31,25
ag,2008,32,40
ag,2008,33,44
ag,2008,34,25
ag,2008,35,21
ag,2008,36,48
ag,2008,37,56
ag,2008,38,60
ag,2008,39,45
ag,2008,40,55
ag,2008,41,32
ag,2008,42,46
ag,2008,43,61
ag,2008,44,42
ag,2008,45,37
ag,2008,46,43
ag,2008,47,34
ag,2008,48,40
ag,2008,49,25
ag,2008,50,16
ag,2008,51,17
ag,2009,52,17
ag,2009,1,16
ag,2009,2,23
ag,2009,3,18
ag,2009,4,18
ag,2009,5,9
ag,2009,6,7
ag,2009,7,7
ag,2009,8,4
ag,2009,9,3
ag,2009,10,2
ag,2009,11,8
ag,2009,12,3
ag,2009,13,1
ag,2009,14,1
ag,2009,15,2
ag,2009,16,3
ag,2009,17,3
ag,2009,18,2
ag,2009,19,0
ag,2009,20,0
ag,2009,21,2
ag,2009,22,2
ag,2009,23,0
ag,2009,24,6
ag,2009,25,3
ag,2009,26,6
ag,2009,27,2
ag,2009,28,3
ag,2009,29,2
ag,2009,30,4
ag,2009,31,5
ag,2009,32,2
ag,2009,33,9
ag,2009,34,2
ag,2009,35,4
ag,2009,36,8
ag,2009,37,6
ag,2009,38,3
ag,2009,39,11
ag,2009,40,14
ag,2009,41,15
ag,2009,42,20
ag,2009,43,9
ag,2009,44,20
ag,2009,45,28
ag,2009,46,38
ag,2009,47,30
ag,2009,48,30
ag,2009,49,23
ag,2009,50,16
ag,2009,51,22
ag,2010,1,28
ag,2010,2,14
ag,2010,3,17
ag,2010,4,20
ag,2010,5,17
ag,2010,6,10
ag,2010,7,13
ag,2010,8,20
ag,2010,9,9
ag,2010,10,18
ag,2010,11,9
ag,2010,12,8
ag,2010,13,19
ag,2010,14,11
ag,2010,15,4
ag,2010,16,6
ag,2010,17,6
ag,2010,18,8
ag,2010,19,13
ag,2010,20,8
ag,2010,21,8
ag,2010,22,5
ag,2010,23,16
ag,2010,24,12
ag,2010,25,11
ag,2010,26,18
ag,2010,27,10
ag,2010,28,22
ag,2010,29,14
ag,2010,30,16
ag,2010,31,18
ag,2010,32,27
ag,2010,33,38
ag,2010,34,35
ag,2010,35,41
ag,2010,36,51
ag,2010,37,65
ag,2010,38,55
ag,2010,39,54
ag,2010,40,62
ag,2010,41,64
ag,2010,42,56
ag,2010,43,65
ag,2010,44,71
ag,2010,45,75
ag,2010,46,71
ag,2010,47,72
ag,2010,48,47
ag,2010,49,27
ag,2010,50,35
ag,2010,51,25
ag,2010,52,19
ag,2011,1,37
ag,2011,2,38
ag,2011,3,34
ag,2011,4,26
ag,2011,5,19
ag,2011,6,18
ag,2011,7,22
ag,2011,8,16
ag,2011,9,18
ag,2011,10,6
ag,2011,11,12
ag,2011,12,6
ag,2011,13,6
ag,2011,14,3
ag,2011,15,7
ag,2011,16,6
ag,2011,17,1
ag,2011,18,3
ag,2011,19,2
ag,2011,20,2
ag,2011,21,1
ag,2011,22,10
ag,2011,23,3
ag,2011,24,3
ag,2011,25,1
ag,2011,26,1
ag,2011,27,2
ag,2011,28,6
ag,2011,29,3
ag,2011,30,3
ag,2011,31,5
ag,2011,32,4
ag,2011,33,7
ag,2011,34,6
ag,2011,35,5
ag,2011,36,7
ag,2011,37,6
ag,2011,38,4
ag,2011,39,4
ag,2011,40,7
ag,2011,41,9
ag,2011,42,5
ag,2011,43,5
ag,2011,44,10
ag,2011,45,6
ag,2011,46,13
ag,2011,47,6
ag,2011,48,5
ag,2011,49,5
ag,2011,50,9
ag,2011,51,3
ag,2011,52,6
ag,2012,1,11
ag,2012,2,7
ag,2012,3,7
ag,2012,4,15
ag,2012,5,9
ag,2012,6,6
ag,2012,7,6
ag,2012,8,6
ag,2012,9,7
ag,2012,10,10
ag,2012,11,8
ag,2012,12,7
ag,2012,13,12
ag,2012,14,3
ag,2012,15,2
ag,2012,16,7
ag,2012,17,5
ag,2012,18,5
ag,2012,19,7
ag,2012,20,7
ag,2012,21,7
ag,2012,22,7
ag,2012,23,10
ag,2012,24,13
ag,2012,25,10
ag,2012,26,14
ag,2012,27,11
ag,2012,28,20
ag,2012,29,25
ag,2012,30,17
ag,2012,31,18
ag,2012,32,25
ag,2012,33,21
ag,2012,34,31
ag,2012,35,32
ag,2012,36,26
ag,2012,37,35
ag,2012,38,28
ag,2012,39,37
ag,2012,40,41
ag,2012,41,34
ag,2012,42,30
ag,2012,43,39
ag,2012,44,39
ag,2012,45,39
ag,2012,46,34
ag,2012,47,30
ag,2012,48,37
ag,2012,49,29
ag,2012,50,26
ag,2012,51,15
ag,2012,52,22
ag,2013,1,15
ag,2013,2,20
ag,2013,3,14
ag,2013,4,10
ag,2013,5,21
ag,2013,6,14
ag,2013,7,14
ag,2013,8,9
ag,2013,9,11
ag,2013,10,5
ag,2013,11,6
ag,2013,12,7
ag,2013,13,11
ag,2013,14,4
ag,2013,15,3
ag,2013,16,2
ag,2013,17,6
ag,2013,18,10
ag,2013,19,7
ag,2013,20,5
ag,2013,21,3
ag,2013,22,12
ag,2013,23,13
ag,2013,24,10
ag,2013,25,13
ag,2013,26,13
ag,2013,27,8
ag,2013,28,21
ag,2013,29,18
ag,2013,30,8
ag,2013,31,7
ag,2013,32,20
ag,2013,33,14
ag,2013,34,14
ag,2013,35,7
ag,2013,36,14
ag,2013,37,10
ag,2013,38,13
ag,2013,39,27
ag,2013,40,13
ag,2013,41,18
ag,2013,42,16
ag,2013,43,16
ag,2013,44,20
ag,2013,45,17
ag,2013,46,4
ag,2013,47,15
ag,2013,48,8
ag,2013,49,6
ag,2013,50,12
ag,2013,51,15
ag,2013,52,11
ag,2014,53,10
ag,2014,1,15
ag,2014,2,17
ag,2014,3,7
ag,2014,4,7
ag,2014,5,8
ag,2014,6,9
ag,2014,7,12
ag,2014,8,12
ag,2014,9,5
ag,2014,10,4
ag,2014,11,11
ag,2014,12,4
ag,2014,13,5
ag,2014,14,7
ag,2014,15,1
ag,2014,16,1
ag,2014,17,4
ag,2014,18,2
ag,2014,19,6
ag,2014,20,3
ag,2014,21,4
ag,2014,22,10
ag,2014,23,12
ag,2014,24,21
ag,2014,25,26
ag,2014,26,21
ag,2014,27,30
ag,2014,28,45
ag,2014,29,56
ag,2014,30,75
ag,2014,31,83
ag,2014,32,82
ag,2014,33,126
ag,2014,34,119
ag,2014,35,137
ag,2014,36,131
ag,2014,37,112
ag,2014,38,82
ag,2014,39,73
ag,2014,40,43
ag,2014,41,55
ag,2014,42,55
ag,2014,43,53
ag,2014,44,46
ag,2014,45,43
ag,2014,46,29
ag,2014,47,22
ag,2014,48,26
ag,2014,49,13
ag,2014,50,17
ag,2014,51,8
ag,2015,52,13
ag,2015,1,10
ag,2015,2,17
ag,2015,3,19
ag,2015,4,9
ag,2015,5,9
ag,2015,6,9
ag,2015,7,3
ag,2015,8,7
ag,2015,9,7
ag,2015,10,0
ag,2015,11,2
ag,2015,12,3
ag,2015,13,3
ag,2015,14,1
ag,2015,15,3
ag,2015,16,3
ag,2015,17,3
ag,2015,18,7
ag,2015,19,3
ag,2015,20,5
ag,2015,21,11
ag,2015,22,5
ag,2015,23,5
ag,2015,24,6
ag,2015,25,6
ag,2015,26,4
ag,2015,27,4
ag,2015,28,8
ag,2015,29,14
ag,2015,30,12
ag,2015,31,16
ag,2015,32,10
ag,2015,33,16
ag,2015,34,18
ag,2015,35,15
ag,2015,36,23
ag,2015,37,17
ag,2015,38,33
ag,2015,39,15
ag,2015,40,13
ag,2015,41,11
ag,2015,42,14
ag,2015,43,17
ag,2015,44,19
ag,2015,45,20
ag,2015,46,12
ag,2015,47,21
ag,2015,48,7
ag,2015,49,19
ag,2015,50,10
ag,2015,51,13
ag,2016,1,10
ag,2016,2,8
ag,2016,3,21
ag,2016,4,11
ag,2016,5,9
ag,2016,6,14
ag,2016,7,14
ag,2016,8,15
ag,2016,9,18
ag,2016,10,16
ag,2016,11,12
ag,2016,12,20
ag,2016,13,8
ag,2016,14,3
ag,2016,15,13
ag,2016,16,4
ag,2016,17,1
ag,2016,18,10
ag,2016,19,8
ag,2016,20,13
ag,2016,21,10
ag,2016,22,21
ag,2016,23,18
ag,2016,24,21
ag,2016,25,34
ag,2016,26,25
ag,2016,27,34
ag,2016,28,33
ag,2016,29,40
ag,2016,30,42
ag,2016,31,36
ag,2016,32,72
ag,2016,33,75
ag,2016,34,76
ag,2016,35,92
ag,2016,36,71
ag,2016,37,112
ag,2016,38,106
ag,2016,39,101
ag,2016,40,170
ag,2016,41,135
ag,2016,42,106
ag,2016,43,68
ag,2016,44,48
ag,2016,45,48
ag,2016,46,26
ag,2016,47,33
ag,2016,48,29
ag,2016,49,17
ag,2016,50,12
ag,2016,51,13
ag,2016,52,17
ag,2017,1,15
ag,2017,2,14
ag,2017,3,15
ag,2017,4,10
ag,2017,5,9
ag,2017,6,2
ag,2017,7,6
ag,2017,8,8
ag,2017,9,5
ag,2017,10,1
ag,2017,11,2
ag,2017,12,3
ag,2017,13,4
ag,2017,14,3
ag,2017,15,1
ag,2017,16,3
ag,2017,17,5
dh,2009,26,0
dh,2009,27,0
dh,2009,28,0
dh,2009,29,0
dh,2009,30,0
dh,2009,31,0
dh,2009,32,0
dh,2009,33,0
dh,2009,34,0
dh,2009,35,0
dh,2009,36,1
dh,2009,37,0
dh,2009,38,0
dh,2009,39,0
dh,2009,40,0
dh,2009,41,1
dh,2009,42,1
dh,2009,43,0
dh,2009,44,0
dh,2009,45,0
dh,2009,46,0
dh,2009,47,0
dh,2009,48,0
dh,2009,49,0
dh,2009,50,1
dh,2009,51,0
dh,2010,1,0
dh,2010,2,0
dh,2010,3,0
dh,2010,4,0
dh,2010,5,0
dh,2010,6,0
dh,2010,7,0
dh,2010,8,0
dh,2010,9,0
dh,2010,10,0
dh,2010,11,0
dh,2010,12,0
dh,2010,13,0
dh,2010,14,0
dh,2010,15,0
dh,2010,16,1
dh,2010,17,0
dh,2010,18,0
dh,2010,19,0
dh,2010,20,0
dh,2010,21,1
dh,2010,22,1
dh,2010,23,0
dh,2010,24,0
dh,2010,25,1
dh,2010,26,0
dh,2010,27,0
dh,2010,28,0
dh,2010,29,0
dh,2010,30,0
dh,2010,31,0
dh,2010,32,0
dh,2010,33,0
dh,2010,34,0
dh,2010,35,0
dh,2010,36,0
dh,2010,37,0
dh,2010,38,0
dh,2010,39,0
dh,2010,40,0
dh,2010,41,0
dh,2010,42,0
dh,2010,43,0
dh,2010,44,0
dh,2010,45,0
dh,2010,46,0
dh,2010,47,1
dh,2010,48,1
dh,2010,49,1
dh,2010,50,2
dh,2010,51,4
dh,2010,52,1
dh,2011,1,4
dh,2011,2,11
dh,2011,3,16
dh,2011,4,23
dh,2011,5,12
dh,2011,6,14
dh,2011,7,18
dh,2011,8,8
dh,2011,9,7
dh,2011,10,10
dh,2011,11,7
dh,2011,12,10
dh,2011,13,5
dh,2011,14,11
dh,2011,15,8
dh,2011,16,18
dh,2011,17,13
dh,2011,18,9
dh,2011,19,22
dh,2011,20,10
dh,2011,21,5
dh,2011,22,13
dh,2011,23,2
dh,2011,24,11
dh,2011,25,11
dh,2011,26,3
dh,2011,27,7
dh,2011,28,7
dh,2011,29,4
dh,2011,30,5
dh,2011,31,6
dh,2011,32,7
dh,2011,33,7
dh,2011,34,4
dh,2011,35,9
dh,2011,36,17
dh,2011,37,8
dh,2011,38,22
dh,2011,39,18
dh,2011,40,21
dh,2011,41,16
dh,2011,42,31
dh,2011,43,25
dh,2011,44,28
dh,2011,45,26
dh,2011,46,18
dh,2011,47,27
dh,2011,48,11
dh,2011,49,38
dh,2011,50,29
dh,2011,51,21
dh,2011,52,11
dh,2012,1,10
dh,2012,2,5
dh,2012,3,6
dh,2012,4,2
dh,2012,5,1
dh,2012,6,2
dh,2012,7,2
dh,2012,8,3
dh,2012,9,5
dh,2012,10,1
dh,2012,11,4
dh,2012,12,2
dh,2012,13,4
dh,2012,14,0
dh,2012,15,0
dh,2012,16,0
dh,2012,17,0
dh,2012,18,1
dh,2012,19,1
dh,2012,20,1
dh,2012,21,1
dh,2012,22,1
dh,2012,23,2
dh,2012,24,3
dh,2012,25,4
dh,2012,26,6
dh,2012,27,2
dh,2012,28,2
dh,2012,29,5
dh,2012,30,1
dh,2012,31,1
dh,2012,32,0
dh,2012,33,0
dh,2012,34,0
dh,2012,35,0
dh,2012,36,2
dh,2012,37,0
dh,2012,38,3
dh,2012,39,0
dh,2012,40,0
dh,2012,41,0
dh,2012,42,2
dh,2012,43,2
dh,2012,44,3
dh,2012,45,3
dh,2012,46,3
dh,2012,47,1
dh,2012,48,2
dh,2012,49,3
dh,2012,50,6
dh,2012,51,5
dh,2012,52,1
dh,2013,1,4
dh,2013,2,5
dh,2013,3,8
dh,2013,4,5
dh,2013,5,2
dh,2013,6,3
dh,2013,7,3
dh,2013,8,1
dh,2013,9,6
dh,2013,10,4
dh,2013,11,1
dh,2013,12,2
dh,2013,13,3
dh,2013,14,1
dh,2013,15,8
dh,2013,16,4
dh,2013,17,6
dh,2013,18,7
dh,2013,19,5
dh,2013,20,8
dh,2013,21,6
dh,2013,22,5
dh,2013,23,6
dh,2013,24,6
dh,2013,25,13
dh,2013,26,2
dh,2013,27,10
dh,2013,28,3
dh,2013,29,12
dh,2013,30,7
dh,2013,31,6
dh,2013,32,5
dh,2013,33,6
dh,2013,34,6
dh,2013,35,6
dh,2013,36,8
dh,2013,37,6
dh,2013,38,9
dh,2013,39,12
dh,2013,40,19
dh,2013,41,8
dh,2013,42,16
dh,2013,43,21
dh,2013,44,6
dh,2013,45,22
dh,2013,46,37
dh,2013,47,33
dh,2013,48,18
dh,2013,49,83
dh,2013,50,116
dh,2013,51,32
dh,2013,52,7
dh,2014,53,9
dh,2014,1,10
dh,2014,2,5
dh,2014,3,8
dh,2014,4,7
dh,2014,5,8
dh,2014,6,11
dh,2014,7,6
dh,2014,8,7
dh,2014,9,7
dh,2014,10,14
dh,2014,11,7
dh,2014,12,9
dh,2014,13,13
dh,2014,14,16
dh,2014,15,7
dh,2014,16,9
dh,2014,17,2
dh,2014,18,13
dh,2014,19,8
dh,2014,20,3
dh,2014,21,5
dh,2014,22,4
dh,2014,23,8
dh,2014,24,2
dh,2014,25,3
dh,2014,26,5
dh,2014,27,7
dh,2014,28,3
dh,2014,29,5
dh,2014,30,6
dh,2014,31,5
dh,2014,32,5
dh,2014,33,4
dh,2014,34,0
dh,2014,35,0
dh,2014,36,0
dh,2014,37,0
dh,2014,38,0
dh,2014,39,2
dh,2014,40,4
dh,2014,41,4
dh,2014,42,3
dh,2014,43,3
dh,2014,44,5
dh,2014,45,6
dh,2014,46,14
dh,2014,47,3
dh,2014,48,7
dh,2014,49,11
dh,2014,50,2
dh,2014,51,6
dh,2015,52,8
dh,2015,1,25
dh,2015,2,21
dh,2015,3,10
dh,2015,4,28
dh,2015,5,39
dh,2015,6,20
dh,2015,7,24
dh,2015,8,28
dh,2015,9,26
dh,2015,10,8
dh,2015,11,9
dh,2015,12,12
dh,2015,13,18
dh,2015,14,9
dh,2015,15,9
dh,2015,16,6
dh,2015,17,6
dh,2015,18,8
dh,2015,19,5
dh,2015,20,7
dh,2015,21,6
dh,2015,22,5
dh,2015,23,3
dh,2015,24,1
dh,2015,25,0
dh,2015,26,1
dh,2015,27,2
dh,2015,28,3
dh,2015,29,2
dh,2015,30,2
dh,2015,31,2
dh,2015,32,2
dh,2015,33,2
dh,2015,34,4
dh,2015,35,0
dh,2015,36,6
dh,2015,37,3
dh,2015,38,2
dh,2015,39,6
dh,2015,40,2
dh,2015,41,7
dh,2015,42,4
dh,2015,43,6
dh,2015,44,6
dh,2015,45,2
dh,2015,46,13
dh,2015,47,10
dh,2015,48,5
dh,2015,49,2
dh,2015,50,0
dh,2015,51,1
dh,2016,1,0
dh,2016,2,14
dh,2016,3,6
dh,2016,4,10
dh,2016,5,5
dh,2016,6,12
dh,2016,7,9
dh,2016,8,5
dh,2016,9,11
dh,2016,10,2
dh,2016,11,6
dh,2016,12,7
dh,2016,13,6
dh,2016,14,5
dh,2016,15,9
dh,2016,16,5
dh,2016,17,8
dh,2016,18,3
dh,2016,19,4
dh,2016,20,11
dh,2016,21,5
dh,2016,22,8
dh,2016,23,4
dh,2016,24,3
dh,2016,25,1
dh,2016,26,2
dh,2016,27,3
dh,2016,28,4
dh,2016,29,1
dh,2016,30,8
dh,2016,31,5
dh,2016,32,3
dh,2016,33,2
dh,2016,34,7
dh,2016,35,1
dh,2016,36,6
dh,2016,37,7
dh,2016,38,5
dh,2016,39,2
dh,2016,40,6
dh,2016,41,11
dh,2016,42,6
dh,2016,43,3
dh,2016,44,11
dh,2016,45,11
dh,2016,46,5
dh,2016,47,4
dh,2016,48,9
dh,2016,49,23
dh,2016,50,28
dh,2016,51,26
dh,2016,52,7
dh,2017,1,29
dh,2017,2,58
dh,2017,3,26
dh,2017,4,38
dh,2017,5,35
dh,2017,6,37
dh,2017,7,20
dh,2017,8,29
dh,2017,9,25
dh,2017,10,23
dh,2017,11,9
dh,2017,12,3
dh,2017,13,6
dh,2017,14,6
dh,2017,15,3
dh,2017,16,1
dh,2017,17,3
dh,2017,18,1
dh,2017,19,1
dh,2017,20,0
dh,2017,21,2
dh,2017,22,1
dh,2017,23,1
dh,2017,24,0
dh,2017,25,0
dh,2017,26,1
dh,2017,27,0
dh,2017,28,3
dh,2017,29,3
dh,2017,30,1
dh,2017,31,5
dh,2017,32,2
dh,2017,33,5
dh,2017,34,5
dh,2017,35,5
dh,2017,36,9
dh,2017,37,17
dh,2017,38,19
dh,2017,39,25
dh,2017,40,45
dh,2017,41,34
dh,2017,42,63
dh,2017,43,44
dh,2017,44,50
dh,2017,45,35
dh,2017,46,16
dh,2017,47,16
dh,2017,48,13
dh,2017,49,9
dh,2017,50,15
dh,2017,51,4
dh,2017,52,0
dh,2018,1,1
dh,2018,2,10
dh,2018,3,11
dh,2018,4,29
dh,2018,5,35
dh,2018,6,30
dh,2018,7,20
dh,2018,8,21
dh,2018,9,12
dh,2018,10,9
dh,2018,11,11
dh,2018,12,9
dh,2018,13,5
dh,2018,14,11
dh,2018,15,3
dh,2018,16,5
dh,2018,17,5
dh,2018,18,4
dh,2018,19,4
